filename,survey,longitude,latitude,area,area_pix,antarctic_scallop-antarctic_scallop,barnacles-bathylasmatidae,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-antipatharia,octocorals_bottle_brush_simple-gorgonacea,brachiopods-brachiopoda,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,anemones_colonial-zoantharia,octocorals_branching_bushy-alcyonacea,stony_corals_solitary-scleractinia,octocorals_seafan_fern_simple-antipatharia,stony_corals_colonial-scleractinia,octocorals_seafan_flexible-alcyonacea
PS96_007_0024__PS96_007-1_2015-12-29_3644.jpg,PS96,-26.9511,-74.6565,2.9713047454744097,14155776.0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PS96_008_0001__PS96_008-2_2015-12-30_3877.jpg,PS96,-29.4187,-74.9193,2.9034196842183326,14155776.0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PS96_008_0003__PS96_008-2_2015-12-30_3950.jpg,PS96,-29.4153,-74.9165,2.7673485496499657,14155776.0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_008_0006__PS96_008-2_2015-12-30_4070.jpg,PS96,-29.408,-74.9098,2.643848506937581,14155776.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0002__PS96_010-3_2016-01-01_4331.jpg,PS96,-26.0756,-74.954,2.3998479280934184,14155776.0,0,0,0,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PS96_010_0008__PS96_010-3_2016-01-01_4201.jpg,PS96,-26.0554,-74.9469,2.9374116677792057,14155776.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0010__PS96_010-3_2016-01-01_4256.jpg,PS96,-26.0652,-74.95,2.771729244723843,14155776.0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0012__PS96_010-3_2016-01-01_4140.jpg,PS96,-26.0428,-74.9443,2.7680580031884805,14155776.0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0017__PS96_010-3_2016-01-01_4312.jpg,PS96,-26.0738,-74.9532,2.5053953432765224,14155776.0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0023__PS96_010-3_2016-01-01_4246.jpg,PS96,-26.0636,-74.9494,2.507699680847211,14155776.0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PS96_057_0006__PS96_057-3_2016-01-21_1024.jpg,PS96,-29.0231,-76.3211,4.8141096422691305,14155776.0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PS96_057_0012__PS96_057-3_2016-01-21_0972.jpg,PS96,-29.033,-76.3187,3.7831995376198058,14155776.0,0,0,0,1,11,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
PS96_061_0006__PS96_061-1_2016-01-21_1094.jpg,PS96,-30.301,-76.0996,2.547802592476868,14155776.0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_061_0007__PS96_061-1_2016-01-21_1113.jpg,PS96,-30.304,-76.09899999999998,2.780342068721307,14155776.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_061_0008__PS96_061-1_2016-01-21_1254.jpg,PS96,-30.3289,-76.093,2.7528320557555235,14155776.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PS96_061_0012__PS96_061-1_2016-01-21_1101.jpg,PS96,-30.3027,-76.0993,2.249628094596367,14155776.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_061_0019__PS96_061-1_2016-01-21_1271.jpg,PS96,-30.3311,-76.0925,3.914684773661293,14155776.0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PS96_090_0011__PS96_090-4_2016-01-29_1607.jpg,PS96,-17.0473,-72.4374,,14155776.0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
PS96_090_0016__PS96_090-4_2016-01-29_1628.jpg,PS96,-17.0502,-72.4381,3.1603597710225264,14155776.0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PS96_090_0018__PS96_090-4_2016-01-29_1737.jpg,PS96,-17.0667,-72.4418,2.6739618618352563,14155776.0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PS96_106_0006__PS96_106-2_2016-01-31_0015.jpg,PS96,-17.875999999999994,-72.608,,14155776.0,0,0,0,1,3,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0
