cellID,bryozoans_hard_branching-bryozoans,bryozoans_hard_encrusting-bryozoans,bryozoans_hard_fenestrate-bryozoans,bryozoans_hard_massive-bryozoans,bryozoans_soft_dendroid-bryozoans,bryozoans_soft_foliaceous-bryozoans,hydrocorals_branching-stylasterids,sponges_crust_creeping-porifera,sponges_crust_encrusting-porifera,sponges_cup_barrel-porifera,sponges_cup_cup_complete-porifera,sponges_cup_cup_disc-porifera,sponges_cup_tube_chimney-porifera,sponges_erect_1d-porifera,sponges_erect_2d-porifera,sponges_erect_3d-porifera,sponges_erect_stalked-porifera,sponges_massive_cryptic-porifera,sponges_massive_globular-porifera,sponges_massive_simple-porifera,basket_snake_stars-euryalida,polychaete-serpulidae,crinoid_stalked-crinoid_stalked,urchin_regular_pencil-cidaroida,barnacles-bathylasmatidae,brachiopods-brachiopoda,antarctic_scallop-antarctic_scallop,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-gorgonacea,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,stony_corals_solitary-scleractinia,octocorals_whip-gorgonacea,octocorals_whip-pennatulacea,octocorals_whip_simple_umbellula-pennatulacea,anemones_colonial-zoantharia,octocorals_bottle_brush_complex-antipatharia,ascidians_stalked_colonial-ascidiacea,ascidians_stalked_solitary-ascidiacea,ascidians_unstalked_colonial-ascidiacea,ascidians_unstalked_solitary-ascidiacea,octocorals_whip-alcyonacea,anemones_colonial-corallimorpharia,octocorals_seafan_fern_simple-antipatharia,octocorals_branching_bushy-antipatharia,octocorals_seafan_fern_complex-antipatharia,octocorals_bottle_brush_simple-antipatharia
45594187,0.0,0.0,0.0,0.23148148148148145,0.0,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,0.0,1.6203703703703702,0.0,0.0,0.0,0.03660687748241877,0.0,0.0,0.0,0.0,0.011958246644256737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00566058759796,0.0,0.0,0.0,0.0,0.43651648564406315,0.9622318554898854,0.09023916699084644,0.023004565698226672,0.0,0.0,0.0,0.0,0.0,0.0
45607278,1.6666666666666667,0.0,0.0,0.1851851851851852,0.3703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1851851851851852,0.1851851851851852,0.0,0.0,0.0,0.3703703703703704,0.015398496243196332,2.105079337094367,0.0,0.18660776028674916,0.0,0.0,0.0,0.0,0.06314520607534667,0.0790653689996459,0.0,0.0,0.0,0.0,0.0,0.0,0.012261530810982172,0.0,0.010502892525827789,0.0,0.0,0.0,0.0,0.0,0.010034934997781375,0.11221425180821586,0.27581297403863997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45607283,1.8518518518518516,0.0,0.15432098765432098,0.15432098765432098,0.30864197530864196,0.15432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15432098765432098,0.0,0.0,0.0,0.0,0.15432098765432098,0.0,0.07642627305444528,0.022108017043160812,0.03430895779099548,0.0,0.0,0.0,0.141744270070423,0.8191652592463421,0.0289868890093049,0.02719970685384462,0.011344026197151793,0.0,0.0,0.3852160806903221,0.15779260453656507,0.004568800565709524,0.18304408698949348,0.007272542202076785,2.573056212934032,0.0,0.0,0.0755591484222895,0.0,0.7864612383257228,0.7924370768342915,1.4650473549958107,0.0,1.2391149779732507,0.0,0.0,0.0,0.0,0.0
45607522,0.4629629629629629,0.0,0.0,0.15432098765432098,8.641975308641975,0.30864197530864196,0.0,0.0,0.15432098765432098,0.0,0.0,0.0,0.0,0.0,0.6172839506172839,0.15432098765432098,0.0,0.0,0.0,0.6172839506172839,0.0,0.0,0.0,0.5368745513505334,0.0,0.0,0.0,0.0,0.16153593635740124,0.16981998401602597,0.0,2.9432559274234795,0.0,0.0,0.0,0.1251096820644958,0.014232530308349218,0.0,0.0,7.09086834055036,0.0,0.0,0.07107958241225397,0.0,0.4855855680304973,1.6714339848821953,1.4024642610650058,1.2503314842994475,0.08326631916244263,0.0,0.0,0.0,0.0,0.0
45620612,0.4629629629629629,0.0,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008178892768820504,0.5667839607151012,0.0,0.12714074812487242,0.0,0.0,0.0,0.0,0.2031654221769895,0.0,0.0,0.12154232270993237,0.0,0.0,0.0,0.0,0.025785903175594236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10802021142700444,0.6060635383068371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45620613,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259258,0.4694090537735186,1.0064994006823782,0.0,0.025534148013811136,0.0,0.0,0.0,0.23213896959812463,0.0,0.099649249282517,0.031382255445943176,0.0,0.0,0.0,0.0,1.1282546269372686,0.008459345107772544,0.0,0.00680238429252367,0.0,0.0,0.0,0.0,0.0,0.07081904066602583,0.055869407075178346,0.30937407877005263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45620618,5.555555555555555,0.0,0.0,0.9259259259259258,0.4629629629629629,0.0,0.0,0.0,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0.4215232319703772,0.0,0.0,0.0,0.0,0.0,0.0,1.4695446931623688,0.28479856402182246,0.25087337494453066,0.12403248687369371,0.0,0.0,0.0,0.6297587008421252,0.0,0.06064915632879528,0.04880618127092562,10.40870438648108,1.2953050473652392,0.0,0.0,0.0,1.079870749655554,1.4066440656198869,2.1045883870387274,0.0,0.25216685491376273,0.0,0.0,0.0,0.0,0.0
45620856,0.30864197530864196,0.0,0.0,0.30864197530864196,0.9259259259259258,0.9259259259259258,0.0,0.0,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011406819754635944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249398799166947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2558475365358037,0.0,0.0,0.0,0.0,2.836885848975369,3.848144662016583,0.06793603544634558,0.21916668521034574,0.0,0.0,0.0,0.0,0.0,0.0
45633947,1.2962962962962963,0.0,0.0,0.9259259259259258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1851851851851852,0.0,0.0,0.0,0.0,0.1851851851851852,1.1111111111111112,0.1161364044123372,0.5604957127794882,0.0,0.1731622853150603,0.0,0.0,0.0,0.0,0.06264991128761602,0.0,0.0,0.0,0.0,0.0,0.0,0.41551679045463785,0.08821165920611808,0.0,0.0,0.04026304656922083,0.0,0.0,0.0,0.0,0.0,0.011275833436522106,0.44749034502606333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45633953,1.5432098765432098,0.0,0.0,0.0,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2905220419232292,0.0,0.06705392720833979,0.0,0.0,0.0,0.0,0.8706725047309788,0.059616772345122276,0.043134500856025215,0.1090013551206929,0.0,0.0,0.0,0.4354997039411419,0.07399351958737768,0.0,0.0,5.17948193398481,0.0,0.0,0.03778222361833786,0.0,0.8516944309652811,0.5337529560987074,0.8047914629666592,0.0,0.8994939764126528,0.0,0.0,0.0,0.0,0.0
45633954,1.8518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018486930714590347,0.0,0.0,0.0,0.0,0.9360051118132283,0.038085909729200715,0.0,0.6245495211647798,0.0,0.0,0.0,0.057857846901426695,0.0,0.11189361128118792,0.0,7.2882248825527425,0.0,0.0,0.0,0.0,1.1152171715683115,1.2893090054244818,1.8474906125762396,0.0,0.4743159138722561,0.0,0.0,0.0,0.0,0.0
45634191,0.4629629629629629,0.0,0.0,0.0,4.166666666666666,0.6944444444444444,0.0,0.0,0.23148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530488347916607,0.0,0.0,0.0,0.0,0.026016845179675525,0.0,0.0,0.3149179300543788,0.0,0.0,0.0,0.0,0.015094752544983906,0.0,0.0,0.8649761862688508,0.0,0.0,0.0,0.0,5.010822865026152,4.832558351415388,2.429268010232879,0.5189847884181962,0.0,0.0,0.0,0.0,0.0,0.0
45647282,0.5555555555555556,0.0,0.0,0.0,0.0,0.1851851851851852,0.0,0.0,0.1851851851851852,0.0,0.0,0.0,0.0,0.0,0.1851851851851852,0.0,0.0,0.0,0.0,0.1851851851851852,0.0,0.9495390510708813,0.0,0.6636815354528451,0.0,0.00997939044250272,0.0,0.0,0.16361811204673662,0.0,0.0,0.028909647252684294,0.0,0.0,0.0,0.3257635482449779,0.06554301180317346,0.0,0.12464914855750532,0.0,0.0,0.0,0.0,0.0,0.0,0.2776216740186281,0.41779837129198755,0.305531702933244,0.0,0.0,0.0,0.0,0.0,0.0
45647289,2.083333333333333,0.0,0.0,0.9259259259259258,0.23148148148148145,0.0,0.0,0.0,0.23148148148148145,0.4629629629629629,0.0,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,1.1574074074074074,0.014389585719322247,0.0,0.0,0.01668783459248833,0.0,0.0,0.0,0.0,1.3342109196326513,0.328254627969782,0.10270517063661261,1.178536015176367,0.0,0.0,0.0,1.2915916788650625,0.05536646523213814,0.043435647676047365,0.0,8.488496742516626,0.0,0.0,0.63464225090462,0.0,0.4943609761713769,2.531754503803592,0.9825195904918845,0.2887698242384682,2.177338043606155,0.0,0.0,0.0,0.0,0.0
45647525,0.4629629629629629,0.0,0.0,0.0,0.15432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03712936672877428,0.0,0.0,0.07148073059901627,0.0,0.0,0.0,0.0,0.0,0.0,0.010310937157547863,0.6315836307271572,0.0,0.0,0.0,0.0,0.01790749380496019,0.0150387153844022,0.0,0.0,0.21607711689072606,0.0,0.0,0.0,0.0,0.0
45660617,0.7716049382716049,0.0,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5432098765432098,1.3000806561662446,0.047532613295191525,0.0,0.5777465695522844,0.0,0.0,0.0,0.0,0.08543137269788582,0.0,0.0,0.0,0.0,0.0,0.0,0.5917228033916049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095257539103803,0.730752916686513,2.022778269151327,0.0,0.0,0.0,0.0,0.0,0.0
