annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,image_id,filename,image_longitude,image_latitude,shape_id,shape_name,points,attributes,annotation_id,created_at
12737461,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1262730,JR15005_067_0003__Event_67_P28A20160310101623.png,,,4,Circle,"[1075.18,1461.01,92.84]","{""size"":10054350,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11795766,"2021-09-03 02:26:06"
12737462,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1262730,JR15005_067_0003__Event_67_P28A20160310101623.png,,,4,Circle,"[1459.78,569.31,36.8]","{""size"":10054350,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11795767,"2021-09-03 02:26:09"
12737463,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1262732,JR15005_067_0005__Event_67_P19A20160310093744.png,,,4,Circle,"[1132.86,1419.17,56.56]","{""size"":10689856,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11795768,"2021-09-03 02:26:13"
12737464,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1262741,JR15005_078_0004__Event_78_P04A20160311074235.png,,,4,Circle,"[2206.55,1101.82,28.77]","{""size"":10854366,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11795769,"2021-09-03 02:26:16"
12737465,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1262747,JR15005_097_0001__Event_97_P21A20160313141707.png,,,4,Circle,"[2407.36,857.68,35.09]","{""size"":10707113,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11795770,"2021-09-03 02:26:18"
12737466,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1262748,JR15005_097_0002__Event_97_P14A20160313140603.png,,,4,Circle,"[802.05,1893.41,63.22]","{""size"":10082868,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11795771,"2021-09-03 02:26:21"
12738850,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1262742,JR15005_078_0005__Event_78_P19C20160311082902.png,,,4,Circle,"[1244.62,1800.18,127.19]","{""size"":11146101,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11797117,"2021-09-04 05:49:45"
12738851,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1262742,JR15005_078_0005__Event_78_P19C20160311082902.png,,,4,Circle,"[914.12,883.38,114.75]","{""size"":11146101,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11797118,"2021-09-04 05:49:48"
12739598,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1262694,JR15005_008_0001__Event_08_P20A20160302125408.png,,,4,Circle,"[1151.68,191.89,20.46]","{""size"":10366277,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11797865,"2021-09-04 06:24:54"
12739599,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1262714,JR15005_036_0001__Event_36_P20A20160306090401.png,,,4,Circle,"[908.74,1881.46,47.66]","{""size"":10575454,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11797866,"2021-09-04 06:24:57"
