cellID,bryozoans_hard_branching-bryozoans,bryozoans_hard_encrusting-bryozoans,bryozoans_hard_fenestrate-bryozoans,bryozoans_hard_massive-bryozoans,bryozoans_soft_dendroid-bryozoans,bryozoans_soft_foliaceous-bryozoans,hydrocorals_branching-stylasterids,urchin_regular_pencil-cidaroida,basket_snake_stars-euryalida,crinoid_stalked-crinoid_stalked,polychaete-serpulidae,brachiopods-brachiopoda,antarctic_scallop-antarctic_scallop,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_mushroom-alcyonacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,stony_corals_solitary-scleractinia,octocorals_whip-gorgonacea,anemones_colonial-zoantharia,ascidians_stalked_colonial-ascidiacea,ascidians_stalked_solitary-ascidiacea,ascidians_unstalked_colonial-ascidiacea,ascidians_unstalked_solitary-ascidiacea,octocorals_whip-alcyonacea,anemones_colonial-corallimorpharia,sponges_crust-porifera,sponges_cup-porifera,sponges_erect-porifera,sponges_massive-porifera,octocorals_branching-gorgonacea,octocorals_branching-alcyonacea,octocorals-pennatulacea,octocorals-antipatharia
24872045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624439639341294,0.004914061212039296,0.0,0.0,0.23148148148148145,0.0,0.0,0.0,0.19814542705630278,0.0,0.0,0.0
24885380,0.0,0.9259259259259258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04112271790223777,0.0033086697425657586,0.0,0.0,1.8518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25085366,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026824108005274593,0.0,0.0,0.0,0.0,0.04620851531837433,0.0,0.0,0.0,0.0,0.034142349306677075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25098701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018801033514679977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25498765,0.0,0.0,0.0,0.0,0.0,0.0,0.23148148148148145,0.1616320143646647,0.0,0.0,0.009844257955452601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04946260283085366,0.0,0.0,0.0,2.7777777777777777,0.23148148148148145,0.0,0.0,0.0,0.0,0.0,0.0
25525427,0.0,1.4814814814814816,0.0,0.0,0.1851851851851852,0.0,0.3703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22602401441688588,0.0,0.0,0.0,0.0,0.04054153703364929,0.0,0.0,0.0,0.0,0.0,0.0,0.1851851851851852,0.0,0.0,0.0,0.0
25578774,0.3703703703703704,0.1851851851851852,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17903242407602024,0.0,0.0,0.04650237855802328,0.0,0.0,0.0,0.0,0.029914338648889285,0.0,0.0,0.0,0.1851851851851852,1.4814814814814814,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0
26445384,0.0,0.0,0.0,0.0,0.0,0.0,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025630366650419123,0.018208925766493966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26458720,0.9259259259259258,0.4629629629629629,0.0,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03611335376265144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26645397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09881473909075801,0.0,0.0,0.0,0.0,0.025115769967591264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26698721,0.0,0.0,0.0,0.0,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14685330746029276,0.05300592482957782,0.0,0.004521462814386989,1.3252532933119454,0.05332190579799404,0.0,0.0,0.037641775147887115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7854674152409267,0.0,0.0,0.0
