annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,image_id,filename,image_longitude,image_latitude,shape_id,shape_name,points,attributes,annotation_id,created_at
12739546,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348503,LMG1311_2_0002__DSC0047.JPG,,,4,Circle,"[3286.38,1387.2,56.82]","{""size"":2557816,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":5.551926084248531,""count"":2,""method"":""manual"",""points"":[[1782.69,1971.45],[1680.36,1884.24]],""distance"":""10""}}",11797813,"2021-09-04 06:22:15"
12739547,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348503,LMG1311_2_0002__DSC0047.JPG,,,4,Circle,"[188.12,855.46,83.88]","{""size"":2557816,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":5.551926084248531,""count"":2,""method"":""manual"",""points"":[[1782.69,1971.45],[1680.36,1884.24]],""distance"":""10""}}",11797814,"2021-09-04 06:22:18"
12739548,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348508,LMG1311_2_0006__DSC0074.JPG,,,4,Circle,"[74.68,492.93,109.28]","{""size"":2928641,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":3.215909705115611,""count"":2,""method"":""manual"",""points"":[[1879.59,1931.04],[1742.99,1819.02]],""distance"":""10""}}",11797815,"2021-09-04 06:22:21"
12739549,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348508,LMG1311_2_0006__DSC0074.JPG,,,4,Circle,"[2719.19,662.14,79.52]","{""size"":2928641,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":3.215909705115611,""count"":2,""method"":""manual"",""points"":[[1879.59,1931.04],[1742.99,1819.02]],""distance"":""10""}}",11797816,"2021-09-04 06:22:24"
12739550,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348508,LMG1311_2_0006__DSC0074.JPG,,,4,Circle,"[2152.48,260.86,59.52]","{""size"":2928641,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":3.215909705115611,""count"":2,""method"":""manual"",""points"":[[1879.59,1931.04],[1742.99,1819.02]],""distance"":""10""}}",11797817,"2021-09-04 06:22:27"
12739551,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348509,LMG1311_2_0007__DSC0052.JPG,,,4,Circle,"[647.07,1408.47,78]","{""size"":3344368,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":4.802995578136308,""count"":2,""method"":""manual"",""points"":[[1695.25,1868.17],[1805.62,1961.52]],""distance"":""10""}}",11797818,"2021-09-04 06:22:30"
12739552,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348519,LMG1311_3_0002__DSC0173.JPG,,,4,Circle,"[618.71,965.59,90.4]","{""size"":2839734,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":4.922600239715869,""count"":2,""method"":""manual"",""points"":[[1802.78,1962.94],[1693.13,1871.48]],""distance"":""10""}}",11797819,"2021-09-04 06:22:33"
12739553,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348522,LMG1311_3_0005__DSC0264.JPG,,,4,Circle,"[2656.33,819.07,37.05]","{""size"":3070573,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":5.402025730583325,""count"":2,""method"":""manual"",""points"":[[1686.04,1878.57],[1788.37,1968.61]],""distance"":""10""}}",11797820,"2021-09-04 06:22:36"
12739554,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348526,LMG1311_3_0009__DSC0251.JPG,,,4,Circle,"[2075.43,2012.52,125.16]","{""size"":3538780,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":4.801600142984603,""count"":2,""method"":""manual"",""points"":[[1695.25,1868.41],[1805.85,1961.52]],""distance"":""10""}}",11797821,"2021-09-04 06:22:39"
12739555,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1348530,LMG1311_3_0013__DSC0275.JPG,,,4,Circle,"[961.86,1105.97,57.59]","{""size"":3686315,""mimetype"":""image\/jpeg"",""width"":3872,""height"":2592,""laserpoints"":{""error"":false,""area"":5.680049489354514,""count"":2,""method"":""manual"",""points"":[[1678.95,1887.08],[1781.28,1971.92]],""distance"":""10""}}",11797822,"2021-09-04 06:22:42"
