annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,image_id,filename,image_longitude,image_latitude,shape_id,shape_name,points,attributes,annotation_id,created_at
12738781,178978,antarctic_scallop-antarctic_scallop,antarctic_scallop-antarctic_scallop,581,Charley,Gros,1113007,AA2011_CTD122_CAM75_0001__IMG_0562.JPG,,,4,Circle,"[1409.91,1323.13,71.72]","{""size"":2378099,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":2.2928055297577785,""count"":2,""method"":""manual"",""points"":[[1002.26,1957.39],[1060.17,1109.14]],""distance"":""50""}}",11797048,"2021-09-04 05:46:42"
12738782,178978,antarctic_scallop-antarctic_scallop,antarctic_scallop-antarctic_scallop,581,Charley,Gros,1113009,AA2011_CTD124_CAM77_0001__IMG_0559.JPG,,,4,Circle,"[2667.35,470.71,68.77]","{""size"":2913166,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":1.7828277362778895,""count"":2,""method"":""manual"",""points"":[[986.24,2022.69],[1047.84,1060.47]],""distance"":""50""}}",11797049,"2021-09-04 05:46:45"
12738783,178978,antarctic_scallop-antarctic_scallop,antarctic_scallop-antarctic_scallop,581,Charley,Gros,1113009,AA2011_CTD124_CAM77_0001__IMG_0559.JPG,,,4,Circle,"[2701.23,433.75,33.78]","{""size"":2913166,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":1.7828277362778895,""count"":2,""method"":""manual"",""points"":[[986.24,2022.69],[1047.84,1060.47]],""distance"":""50""}}",11797050,"2021-09-04 05:46:47"
12738784,178978,antarctic_scallop-antarctic_scallop,antarctic_scallop-antarctic_scallop,581,Charley,Gros,1113010,AA2011_CTD125_CAM78_0001__IMG_0540.JPG,,,4,Circle,"[2777.46,1273.84,84.2]","{""size"":2819215,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":1.9206017079686986,""count"":2,""method"":""manual"",""points"":[[1098.36,2009.14],[1095.89,1080.18]],""distance"":""50""}}",11797051,"2021-09-04 05:46:50"
12738785,178978,antarctic_scallop-antarctic_scallop,antarctic_scallop-antarctic_scallop,581,Charley,Gros,1113011,AA2011_CTD126_CAM79_0001__IMG_0544.JPG,,,4,Circle,"[1191.22,1040.53,51.68]","{""size"":2577710,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":2.615318496128623,""count"":2,""method"":""manual"",""points"":[[1086.04,1941.37],[1103.28,1145.48]],""distance"":""50""}}",11797052,"2021-09-04 05:46:53"
12738786,178978,antarctic_scallop-antarctic_scallop,antarctic_scallop-antarctic_scallop,581,Charley,Gros,1113019,AA2011_CTD134_CAM87_0001__IMG_0548.JPG,,,4,Circle,"[2504.1,793.35,58.2]","{""size"":2804080,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":2.254929367469129,""count"":2,""method"":""manual"",""points"":[[1003.49,1970.94],[1066.32,1115.91]],""distance"":""50""}}",11797053,"2021-09-04 05:46:55"
12738787,178978,antarctic_scallop-antarctic_scallop,antarctic_scallop-antarctic_scallop,581,Charley,Gros,1112973,AA2011_CTD82_CAM35_0001__IMG_0609.JPG,,,4,Circle,"[2316.22,902.69,28.25]","{""size"":2768941,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":2.775948740111352,""count"":2,""method"":""manual"",""points"":[[1102.05,1970.94],[1083.57,1198.46]],""distance"":""50""}}",11797054,"2021-09-04 05:46:58"
12738816,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1112994,AA2011_CTD109_CAM62_0001__IMG_0559.JPG,,,4,Circle,"[837.78,1065.17,39.34]","{""size"":2863514,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":3.1642789309906476,""count"":2,""method"":""manual"",""points"":[[998.56,1897.02],[1049.08,1175.05]],""distance"":""50""}}",11797083,"2021-09-04 05:48:15"
12738817,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1112994,AA2011_CTD109_CAM62_0001__IMG_0559.JPG,,,4,Circle,"[1084.19,252.03,93.32]","{""size"":2863514,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":3.1642789309906476,""count"":2,""method"":""manual"",""points"":[[998.56,1897.02],[1049.08,1175.05]],""distance"":""50""}}",11797084,"2021-09-04 05:48:18"
12738818,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1112994,AA2011_CTD109_CAM62_0001__IMG_0559.JPG,,,4,Circle,"[2165.29,586.99,94.66]","{""size"":2863514,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":3.1642789309906476,""count"":2,""method"":""manual"",""points"":[[998.56,1897.02],[1049.08,1175.05]],""distance"":""50""}}",11797085,"2021-09-04 05:48:20"
12738819,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1112999,AA2011_CTD114_CAM67_0001__IMG_0540.JPG,,,4,Circle,"[383.47,359.83,223.92]","{""size"":2541853,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":3.073655543666526,""count"":2,""method"":""manual"",""points"":[[1094.66,1915.5],[1087.27,1181.21]],""distance"":""50""}}",11797086,"2021-09-04 05:48:23"
12738820,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1113002,AA2011_CTD118_CAM71_0001__IMG_0534.JPG,,,4,Circle,"[1195.07,1293.09,127.7]","{""size"":2648663,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":2.9726993905643324,""count"":2,""method"":""manual"",""points"":[[1074.95,1932.75],[1086.04,1186.14]],""distance"":""50""}}",11797087,"2021-09-04 05:48:26"
12738821,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1113002,AA2011_CTD118_CAM71_0001__IMG_0534.JPG,,,4,Circle,"[2410.93,202.75,313.47]","{""size"":2648663,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":2.9726993905643324,""count"":2,""method"":""manual"",""points"":[[1074.95,1932.75],[1086.04,1186.14]],""distance"":""50""}}",11797088,"2021-09-04 05:48:28"
12738822,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1113020,AA2011_CTD135_CAM88_0001__IMG_0502.JPG,,,4,Circle,"[1131.93,954.29,136.4]","{""size"":3034177,""mimetype"":""image\/jpeg"",""width"":3154,""height"":2102,""laserpoints"":{""error"":false,""area"":2.1621801673556305,""count"":2,""method"":""manual"",""points"":[[1079.88,2004.21],[1116.84,1129.46]],""distance"":""50""}}",11797089,"2021-09-04 05:48:31"
