annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,image_id,filename,image_longitude,image_latitude,shape_id,shape_name,points,attributes,annotation_id,created_at
12739544,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1262868,JR17001_AI_0001__BBX1.1720171127212920.png,,,4,Circle,"[436.89,211.01,105.9]","{""size"":10332244,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11797811,"2021-09-04 06:22:10"
12739545,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1262875,JR17001_MT2_0002__MT21.0420171210220058.png,,,4,Circle,"[1097.3,158.42,224.12]","{""size"":9926220,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11797812,"2021-09-04 06:22:12"
12741797,178976,colonial_feather-hydroidolina,"hydroids > colonial_feather-hydroidolina",581,Charley,Gros,1262868,JR17001_AI_0001__BBX1.1720171127212920.png,,,4,Circle,"[1364.45,1715.31,75.45]","{""size"":10332244,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11800064,"2021-09-04 08:11:38"
12744638,178967,solitary-actiniaria,"anemones > solitary-actiniaria",581,Charley,Gros,1262872,JR17001_MT1_0001__MT11.1720171210202605.png,,,4,Circle,"[2398.39,1461.31,68.98]","{""size"":9459778,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11802883,"2021-09-07 23:50:42"
12748884,179008,solitary-scleractinia,"stony_corals > solitary-scleractinia",581,Charley,Gros,1262872,JR17001_MT1_0001__MT11.1720171210202605.png,,,4,Circle,"[1045.9,1409.91,37.23]","{""size"":9459778,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11807129,"2021-09-08 03:15:07"
12748885,179008,solitary-scleractinia,"stony_corals > solitary-scleractinia",581,Charley,Gros,1262873,JR17001_MT1_0002__MT11.0520171210200727.png,,,4,Circle,"[2401.98,981.39,17.97]","{""size"":10154958,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11807130,"2021-09-08 03:15:11"
12748886,179008,solitary-scleractinia,"stony_corals > solitary-scleractinia",581,Charley,Gros,1262878,JR17001_MT4_0002__MT41.0620171211133105.png,,,4,Circle,"[2029.64,19.76,23.97]","{""size"":10230766,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11807131,"2021-09-08 03:15:14"
12748887,179008,solitary-scleractinia,"stony_corals > solitary-scleractinia",581,Charley,Gros,1262879,JR17001_MT4_0003__MT41.1320171211134338.png,,,4,Circle,"[1125.39,1660.93,20.46]","{""size"":10335913,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11807132,"2021-09-08 03:15:17"
12753153,179005,whip-gorgonacea,"octocorals > whip-gorgonacea",581,Charley,Gros,1262869,JR17001_AI_0002__BBX1.0520171127211536.png,,,4,Circle,"[1649.53,1411.11,87.55]","{""size"":10199720,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",11811374,"2021-09-08 08:47:49"
13425382,178969,stalked_colonial-ascidiacea,"ascidians > stalked_colonial-ascidiacea",581,Charley,Gros,1262869,JR17001_AI_0002__BBX1.0520171127211536.png,,,4,Circle,"[1285.56,436.33,39.11]","{""size"":10199720,""mimetype"":""image\/png"",""width"":2448,""height"":2050}",12368815,"2022-01-10 04:34:50"
