annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,image_id,filename,image_longitude,image_latitude,shape_id,shape_name,points,attributes,annotation_id,created_at
12738844,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1027952,PS18_174_0005__PS18_174-1_049.jpg,,,4,Circle,"[1585.09,1130.41,228.76]","{""size"":1963355,""mimetype"":""image\/jpeg"",""width"":2352,""height"":2405}",11797111,"2021-09-04 05:49:29"
12738845,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1027996,PS18_220_0001__PS18_220-1_036.jpg,,,4,Circle,"[218.66,1367.26,105.56]","{""size"":2418630,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797112,"2021-09-04 05:49:32"
12738846,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1027999,PS18_220_0004__PS18_220-1_042.jpg,,,4,Circle,"[698.11,1637.3,396.66]","{""size"":2646814,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797113,"2021-09-04 05:49:35"
12738847,178981,bottle_brush_complex-gorgonacea,"octocorals > bottle_brush_complex-gorgonacea",581,Charley,Gros,1028003,PS18_222_0003__PS18_222-1_018.jpg,,,4,Circle,"[1764.08,1774.9,159.38]","{""size"":2715240,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797114,"2021-09-04 05:49:37"
12739450,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027923,PS18_160_0001__PS18_160-2_035.jpg,,,4,Circle,"[837.61,2038.85,112.67]","{""size"":2973201,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797717,"2021-09-04 06:17:21"
12739451,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027923,PS18_160_0001__PS18_160-2_035.jpg,,,4,Circle,"[1120.51,1812.53,141.67]","{""size"":2973201,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797718,"2021-09-04 06:17:24"
12739452,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027923,PS18_160_0001__PS18_160-2_035.jpg,,,4,Circle,"[1563.98,911.07,97.28]","{""size"":2973201,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797719,"2021-09-04 06:17:27"
12739453,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027923,PS18_160_0001__PS18_160-2_035.jpg,,,4,Circle,"[196.88,485.19,161.64]","{""size"":2973201,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797720,"2021-09-04 06:17:30"
12739454,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027925,PS18_160_0003__PS18_160-2_050.jpg,,,4,Circle,"[1047.11,2105.37,110.2]","{""size"":2942239,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797721,"2021-09-04 06:17:34"
12739455,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027925,PS18_160_0003__PS18_160-2_050.jpg,,,4,Circle,"[1226.03,1621.38,90.99]","{""size"":2942239,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797722,"2021-09-04 06:17:37"
12739456,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027926,PS18_160_0004__PS18_160-2_012.jpg,,,4,Circle,"[1593.03,1070.11,80.12]","{""size"":2735220,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797723,"2021-09-04 06:17:40"
12739457,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027926,PS18_160_0004__PS18_160-2_012.jpg,,,4,Circle,"[1489.05,455.37,71.28]","{""size"":2735220,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797724,"2021-09-04 06:17:43"
12739458,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027932,PS18_165_0002__PS18_165-1_022.jpg,,,4,Circle,"[2125.43,2083.65,117.41]","{""size"":2578572,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797725,"2021-09-04 06:17:45"
12739459,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027945,PS18_171_0003__PS18_171-1_019.jpg,,,4,Circle,"[1450.89,1888.81,106.51]","{""size"":2435245,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797726,"2021-09-04 06:17:48"
12739460,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027947,PS18_171_0005__PS18_171-1_006.jpg,,,4,Circle,"[723.16,1008.58,133.95]","{""size"":2252522,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797727,"2021-09-04 06:17:51"
12739461,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027951,PS18_174_0004__PS18_174-1_013.jpg,,,4,Circle,"[958.62,2010.81,82.5]","{""size"":2250553,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797728,"2021-09-04 06:17:54"
12739462,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027951,PS18_174_0004__PS18_174-1_013.jpg,,,4,Circle,"[1765.04,1576.49,160.56]","{""size"":2250553,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797729,"2021-09-04 06:17:58"
12739463,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027952,PS18_174_0005__PS18_174-1_049.jpg,,,4,Circle,"[1408.8,1808.12,92.92]","{""size"":1963355,""mimetype"":""image\/jpeg"",""width"":2352,""height"":2405}",11797730,"2021-09-04 06:18:01"
12739464,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027952,PS18_174_0005__PS18_174-1_049.jpg,,,4,Circle,"[1356.95,1564.73,66.72]","{""size"":1963355,""mimetype"":""image\/jpeg"",""width"":2352,""height"":2405}",11797731,"2021-09-04 06:18:04"
12739465,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027952,PS18_174_0005__PS18_174-1_049.jpg,,,4,Circle,"[2204.24,1498.24,157.21]","{""size"":1963355,""mimetype"":""image\/jpeg"",""width"":2352,""height"":2405}",11797732,"2021-09-04 06:18:07"
12739466,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027952,PS18_174_0005__PS18_174-1_049.jpg,,,4,Circle,"[1867.52,1044.4,85.54]","{""size"":1963355,""mimetype"":""image\/jpeg"",""width"":2352,""height"":2405}",11797733,"2021-09-04 06:18:10"
12739467,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027952,PS18_174_0005__PS18_174-1_049.jpg,,,4,Circle,"[1097.09,512.48,61.44]","{""size"":1963355,""mimetype"":""image\/jpeg"",""width"":2352,""height"":2405}",11797734,"2021-09-04 06:18:13"
12739468,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027958,PS18_175_0002__PS18_175-2_023.jpg,,,4,Circle,"[1837.63,1151.93,112.47]","{""size"":3143955,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797735,"2021-09-04 06:18:16"
12739469,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027960,PS18_179_0001__PS18_179-1_042.jpg,,,4,Circle,"[2151.78,1976.65,84.23]","{""size"":2363804,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797736,"2021-09-04 06:18:19"
12739470,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027960,PS18_179_0001__PS18_179-1_042.jpg,,,4,Circle,"[328.49,544.98,190.88]","{""size"":2363804,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797737,"2021-09-04 06:18:22"
12739471,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027962,PS18_179_0003__PS18_179-1_061.jpg,,,4,Circle,"[951.91,2149.28,101.46]","{""size"":2579648,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797738,"2021-09-04 06:18:25"
12739472,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027962,PS18_179_0003__PS18_179-1_061.jpg,,,4,Circle,"[394.37,907.32,147.03]","{""size"":2579648,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797739,"2021-09-04 06:18:29"
12739473,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027963,PS18_179_0004__PS18_179-1_014.jpg,,,4,Circle,"[302.87,1515.49,100.55]","{""size"":2359716,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797740,"2021-09-04 06:18:32"
12739474,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027964,PS18_179_0005__PS18_179-1_051.jpg,,,4,Circle,"[712.79,1101.91,107.41]","{""size"":2422642,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797741,"2021-09-04 06:18:35"
12739475,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027964,PS18_179_0005__PS18_179-1_051.jpg,,,4,Circle,"[1325.23,505.33,101.81]","{""size"":2422642,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797742,"2021-09-04 06:18:38"
12739476,178986,bottle_brush_simple-gorgonacea,"octocorals > bottle_brush_simple-gorgonacea",581,Charley,Gros,1027965,PS18_179_0006__PS18_179-1_033.jpg,,,4,Circle,"[1131.25,1530.13,62.93]","{""size"":2133093,""mimetype"":""image\/jpeg"",""width"":2417,""height"":2407}",11797743,"2021-09-04 06:18:41"
